month,borough,age,stop
2019-04-01,Enfield,15 - 19,209
2019-04-01,Enfield,20 - 24,193
2019-04-01,Enfield,25 - 29,82
2019-04-01,Greenwich,15 - 19,133
2019-04-01,Greenwich,20 - 24,98
2019-04-01,Greenwich,25 - 29,60
2019-04-01,Hackney,15 - 19,260
2019-04-01,Hackney,20 - 24,219
2019-04-01,Hackney,25 - 29,143
2019-04-01,Hammersmith & Fulham,15 - 19,182
2019-04-01,Hammersmith & Fulham,20 - 24,124
2019-04-01,Hammersmith & Fulham,25 - 29,95
2019-04-01,Haringey,15 - 19,142
2019-04-01,Haringey,20 - 24,162
2019-04-01,Haringey,25 - 29,109
2019-04-01,Harrow,15 - 19,124
2019-04-01,Harrow,20 - 24,109
2019-04-01,Harrow,25 - 29,40
2019-04-01,Havering,15 - 19,105
2019-04-01,Havering,20 - 24,60
2019-04-01,Havering,25 - 29,31
2019-04-01,Hillingdon,15 - 19,149
2019-04-01,Hillingdon,20 - 24,144
2019-04-01,Hillingdon,25 - 29,80
2019-04-01,Hounslow,15 - 19,208
2019-04-01,Hounslow,20 - 24,194
2019-04-01,Hounslow,25 - 29,107
2019-04-01,Islington,15 - 19,182
2019-04-01,Islington,20 - 24,115
2019-04-01,Islington,25 - 29,89
2019-04-01,Kensington & Chelsea,15 - 19,147
2019-04-01,Kensington & Chelsea,20 - 24,120
2019-04-01,Kensington & Chelsea,25 - 29,73
2019-04-01,Kingston upon Thames,15 - 19,81
2019-04-01,Kingston upon Thames,20 - 24,49
2019-04-01,Kingston upon Thames,25 - 29,14
2019-04-01,Lambeth,15 - 19,315
2019-04-01,Lambeth,20 - 24,295
2019-04-01,Lambeth,25 - 29,212
2019-04-01,Lewisham,15 - 19,143
2019-04-01,Lewisham,20 - 24,113
2019-04-01,Lewisham,25 - 29,75
2019-04-01,Merton,15 - 19,64
2019-04-01,Merton,20 - 24,66
2019-04-01,Merton,25 - 29,27
2019-04-01,Newham,15 - 19,371
2019-04-01,Newham,20 - 24,282
2019-04-01,Newham,25 - 29,187
2019-04-01,Redbridge,15 - 19,145
2019-04-01,Redbridge,20 - 24,122
2019-04-01,Redbridge,25 - 29,71
2019-04-01,Richmond upon Thames,15 - 19,41
2019-04-01,Richmond upon Thames,20 - 24,13
2019-04-01,Richmond upon Thames,25 - 29,8
2019-04-01,Southwark,15 - 19,399
2019-04-01,Southwark,20 - 24,263
2019-04-01,Southwark,25 - 29,148
2019-04-01,Sutton,15 - 19,93
2019-04-01,Sutton,20 - 24,47
2019-04-01,Sutton,25 - 29,30
2019-04-01,Tower Hamlets,15 - 19,371
2019-04-01,Tower Hamlets,20 - 24,398
2019-04-01,Tower Hamlets,25 - 29,232
2019-04-01,Waltham Forest,15 - 19,437
2019-04-01,Waltham Forest,20 - 24,307
2019-04-01,Waltham Forest,25 - 29,189
2019-04-01,Wandsworth,15 - 19,92
2019-04-01,Wandsworth,20 - 24,87
2019-04-01,Wandsworth,25 - 29,54
2019-04-01,Westminster,15 - 19,259
2019-04-01,Westminster,20 - 24,294
2019-04-01,Westminster,25 - 29,193
2019-05-01,Aviation Policing,15 - 19,1
2019-05-01,Aviation Policing,20 - 24,1
2019-05-01,Aviation Policing,25 - 29,3
2019-05-01,Barking & Dagenham,15 - 19,138
2019-05-01,Barking & Dagenham,20 - 24,98
2019-05-01,Barking & Dagenham,25 - 29,52
2019-05-01,Barnet,15 - 19,146
2019-05-01,Barnet,20 - 24,65
2019-05-01,Barnet,25 - 29,49
2019-05-01,Bexley,15 - 19,111
2019-05-01,Bexley,20 - 24,88
2019-05-01,Bexley,25 - 29,43
2019-05-01,Brent,15 - 19,233
2019-05-01,Brent,20 - 24,167
2019-05-01,Brent,25 - 29,79
2019-05-01,Bromley,15 - 19,190
2019-05-01,Bromley,20 - 24,93
2019-05-01,Bromley,25 - 29,55
2019-05-01,Camden,15 - 19,152
2019-05-01,Camden,20 - 24,160
2019-05-01,Camden,25 - 29,127
2019-05-01,Croydon,15 - 19,324
2019-05-01,Croydon,20 - 24,232
2019-05-01,Croydon,25 - 29,132
2019-05-01,Ealing,15 - 19,314
2019-05-01,Ealing,20 - 24,205
2019-05-01,Ealing,25 - 29,120
2019-05-01,Enfield,15 - 19,166
2019-05-01,Enfield,20 - 24,144
2019-05-01,Enfield,25 - 29,72
2019-05-01,Greenwich,15 - 19,131
2019-05-01,Greenwich,20 - 24,112
2019-05-01,Greenwich,25 - 29,49
2019-05-01,Hackney,15 - 19,313
2019-05-01,Hackney,20 - 24,249
2019-05-01,Hackney,25 - 29,127
2019-05-01,Hammersmith & Fulham,15 - 19,204
2019-05-01,Hammersmith & Fulham,20 - 24,121
2019-05-01,Hammersmith & Fulham,25 - 29,77
2019-05-01,Haringey,15 - 19,181
2019-05-01,Haringey,20 - 24,183
2019-05-01,Haringey,25 - 29,122
2019-05-01,Harrow,15 - 19,104
2019-05-01,Harrow,20 - 24,99
2019-05-01,Harrow,25 - 29,46
2019-05-01,Havering,15 - 19,116
2019-05-01,Havering,20 - 24,71
2019-05-01,Havering,25 - 29,40
2019-05-01,Hillingdon,15 - 19,211
2019-05-01,Hillingdon,20 - 24,145
2019-05-01,Hillingdon,25 - 29,80
2019-05-01,Hounslow,15 - 19,223
2019-05-01,Hounslow,20 - 24,191
2019-05-01,Hounslow,25 - 29,109
2019-05-01,Islington,15 - 19,196
2019-05-01,Islington,20 - 24,129
2019-05-01,Islington,25 - 29,78
2019-05-01,Kensington & Chelsea,15 - 19,149
2019-05-01,Kensington & Chelsea,20 - 24,144
2019-05-01,Kensington & Chelsea,25 - 29,74
2019-05-01,Kingston upon Thames,15 - 19,70
2019-05-01,Kingston upon Thames,20 - 24,52
2019-05-01,Kingston upon Thames,25 - 29,27
2019-05-01,Lambeth,15 - 19,383
2019-05-01,Lambeth,20 - 24,283
2019-05-01,Lambeth,25 - 29,183
2019-05-01,Lewisham,15 - 19,170
2019-05-01,Lewisham,20 - 24,106
2019-05-01,Lewisham,25 - 29,69
2019-05-01,Merton,15 - 19,56
2019-05-01,Merton,20 - 24,54
2019-05-01,Merton,25 - 29,31
2019-05-01,Newham,15 - 19,449
2019-05-01,Newham,20 - 24,360
2019-05-01,Newham,25 - 29,221
2019-05-01,Redbridge,15 - 19,196
2019-05-01,Redbridge,20 - 24,151
2019-05-01,Redbridge,25 - 29,97
2019-05-01,Richmond upon Thames,15 - 19,37
2019-05-01,Richmond upon Thames,20 - 24,16
2019-05-01,Richmond upon Thames,25 - 29,6
2019-05-01,Southwark,15 - 19,411
2019-05-01,Southwark,20 - 24,294
2019-05-01,Southwark,25 - 29,120
2019-05-01,Sutton,15 - 19,78
2019-05-01,Sutton,20 - 24,75
2019-05-01,Sutton,25 - 29,30
2019-05-01,Tower Hamlets,15 - 19,394
2019-05-01,Tower Hamlets,20 - 24,355
2019-05-01,Tower Hamlets,25 - 29,187
2019-05-01,Waltham Forest,15 - 19,465
2019-05-01,Waltham Forest,20 - 24,271
2019-05-01,Waltham Forest,25 - 29,157
2019-05-01,Wandsworth,15 - 19,74
2019-05-01,Wandsworth,20 - 24,84
2019-05-01,Wandsworth,25 - 29,43
2019-05-01,Westminster,15 - 19,248
2019-05-01,Westminster,20 - 24,257
2019-05-01,Westminster,25 - 29,214
2019-06-01,Aviation Policing,15 - 19,5
2019-06-01,Aviation Policing,20 - 24,7
2019-06-01,Aviation Policing,25 - 29,9
2019-06-01,Barking & Dagenham,15 - 19,101
2019-06-01,Barking & Dagenham,20 - 24,94
2019-06-01,Barking & Dagenham,25 - 29,46
2019-06-01,Barnet,15 - 19,130
2019-06-01,Barnet,20 - 24,78
2019-06-01,Barnet,25 - 29,47
2019-06-01,Bexley,15 - 19,165
2019-06-01,Bexley,20 - 24,85
2019-06-01,Bexley,25 - 29,42
2019-06-01,Brent,15 - 19,256
2019-06-01,Brent,20 - 24,265
2019-06-01,Brent,25 - 29,119
2019-06-01,Bromley,15 - 19,246
2019-06-01,Bromley,20 - 24,129
2019-06-01,Bromley,25 - 29,64
2019-06-01,Camden,15 - 19,149
2019-06-01,Camden,20 - 24,166
2019-06-01,Camden,25 - 29,134
2019-06-01,Croydon,15 - 19,423
2019-06-01,Croydon,20 - 24,280
2019-06-01,Croydon,25 - 29,139
2019-06-01,Ealing,15 - 19,235
2019-06-01,Ealing,20 - 24,213
2019-06-01,Ealing,25 - 29,106
2019-06-01,Enfield,15 - 19,172
2019-06-01,Enfield,20 - 24,119
2019-06-01,Enfield,25 - 29,47
2019-06-01,Greenwich,15 - 19,236
2019-06-01,Greenwich,20 - 24,131
2019-06-01,Greenwich,25 - 29,63
2019-06-01,Hackney,15 - 19,306
2019-06-01,Hackney,20 - 24,217
2019-06-01,Hackney,25 - 29,120
2019-06-01,Hammersmith & Fulham,15 - 19,192
2019-06-01,Hammersmith & Fulham,20 - 24,108
2019-06-01,Hammersmith & Fulham,25 - 29,63
2019-06-01,Haringey,15 - 19,243
2019-06-01,Haringey,20 - 24,259
2019-06-01,Haringey,25 - 29,140
2019-06-01,Harrow,15 - 19,87
2019-06-01,Harrow,20 - 24,82
2019-06-01,Harrow,25 - 29,44
2019-06-01,Havering,15 - 19,103
2019-06-01,Havering,20 - 24,45
2019-06-01,Havering,25 - 29,28
2019-06-01,Hillingdon,15 - 19,179
2019-06-01,Hillingdon,20 - 24,171
2019-06-01,Hillingdon,25 - 29,92
2019-06-01,Hounslow,15 - 19,209
2019-06-01,Hounslow,20 - 24,220
2019-06-01,Hounslow,25 - 29,157
2019-06-01,Islington,15 - 19,179
2019-06-01,Islington,20 - 24,114
2019-06-01,Islington,25 - 29,50
2019-06-01,Kensington & Chelsea,15 - 19,90
2019-06-01,Kensington & Chelsea,20 - 24,96
2019-06-01,Kensington & Chelsea,25 - 29,68
2019-06-01,Kingston upon Thames,15 - 19,76
2019-06-01,Kingston upon Thames,20 - 24,41
2019-06-01,Kingston upon Thames,25 - 29,28
2019-06-01,Lambeth,15 - 19,398
2019-06-01,Lambeth,20 - 24,348
2019-06-01,Lambeth,25 - 29,243
2019-06-01,Lewisham,15 - 19,195
2019-06-01,Lewisham,20 - 24,135
2019-06-01,Lewisham,25 - 29,80
2019-06-01,Merton,15 - 19,43
2019-06-01,Merton,20 - 24,46
2019-06-01,Merton,25 - 29,31
2019-06-01,Newham,15 - 19,595
2019-06-01,Newham,20 - 24,527
2019-06-01,Newham,25 - 29,298
2019-06-01,Redbridge,15 - 19,118
2019-06-01,Redbridge,20 - 24,168
2019-06-01,Redbridge,25 - 29,101
2019-06-01,Richmond upon Thames,15 - 19,48
2019-06-01,Richmond upon Thames,20 - 24,21
2019-06-01,Richmond upon Thames,25 - 29,18
2019-06-01,Southwark,15 - 19,414
2019-06-01,Southwark,20 - 24,294
2019-06-01,Southwark,25 - 29,175
2019-06-01,Sutton,15 - 19,87
2019-06-01,Sutton,20 - 24,61
2019-06-01,Sutton,25 - 29,36
2019-06-01,Tower Hamlets,15 - 19,402
2019-06-01,Tower Hamlets,20 - 24,358
2019-06-01,Tower Hamlets,25 - 29,209
2019-06-01,Waltham Forest,15 - 19,529
2019-06-01,Waltham Forest,20 - 24,344
2019-06-01,Waltham Forest,25 - 29,153
2019-06-01,Wandsworth,15 - 19,109
2019-06-01,Wandsworth,20 - 24,57
2019-06-01,Wandsworth,25 - 29,52
2019-06-01,Westminster,15 - 19,366
2019-06-01,Westminster,20 - 24,339
2019-06-01,Westminster,25 - 29,221
2019-07-01,Aviation Policing,15 - 19,5
2019-07-01,Aviation Policing,20 - 24,5
2019-07-01,Aviation Policing,25 - 29,6
2019-07-01,Barking & Dagenham,15 - 19,92
2019-07-01,Barking & Dagenham,20 - 24,98
2019-07-01,Barking & Dagenham,25 - 29,55
2019-07-01,Barnet,15 - 19,129
2019-07-01,Barnet,20 - 24,86
2019-07-01,Barnet,25 - 29,49
2019-07-01,Bexley,15 - 19,138
2019-07-01,Bexley,20 - 24,75
2019-07-01,Bexley,25 - 29,49
2019-07-01,Brent,15 - 19,309
2019-07-01,Brent,20 - 24,370
2019-07-01,Brent,25 - 29,177
2019-07-01,Bromley,15 - 19,183
2019-07-01,Bromley,20 - 24,124
2019-07-01,Bromley,25 - 29,63
2019-07-01,Camden,15 - 19,204
2019-07-01,Camden,20 - 24,193
2019-07-01,Camden,25 - 29,114
2019-07-01,Croydon,15 - 19,406
2019-07-01,Croydon,20 - 24,245
2019-07-01,Croydon,25 - 29,130
2019-07-01,Ealing,15 - 19,299
2019-07-01,Ealing,20 - 24,252
2019-07-01,Ealing,25 - 29,147
2019-07-01,Enfield,15 - 19,122
2019-07-01,Enfield,20 - 24,127
2019-07-01,Enfield,25 - 29,52
2019-07-01,Greenwich,15 - 19,304
2019-07-01,Greenwich,20 - 24,156
2019-07-01,Greenwich,25 - 29,78
2019-07-01,Hackney,15 - 19,336
2019-07-01,Hackney,20 - 24,278
2019-07-01,Hackney,25 - 29,143
2019-07-01,Hammersmith & Fulham,15 - 19,168
2019-07-01,Hammersmith & Fulham,20 - 24,101
2019-07-01,Hammersmith & Fulham,25 - 29,52
2019-07-01,Haringey,15 - 19,255
2019-07-01,Haringey,20 - 24,316
2019-07-01,Haringey,25 - 29,144
2019-07-01,Harrow,15 - 19,112
2019-07-01,Harrow,20 - 24,103
2019-07-01,Harrow,25 - 29,48
2019-07-01,Havering,15 - 19,77
2019-07-01,Havering,20 - 24,54
2019-07-01,Havering,25 - 29,24
2019-07-01,Hillingdon,15 - 19,217
2019-07-01,Hillingdon,20 - 24,149
2019-07-01,Hillingdon,25 - 29,98
2019-07-01,Hounslow,15 - 19,214
2019-07-01,Hounslow,20 - 24,197
2019-07-01,Hounslow,25 - 29,131
2019-07-01,Islington,15 - 19,231
2019-07-01,Islington,20 - 24,171
2019-07-01,Islington,25 - 29,83
2019-07-01,Kensington & Chelsea,15 - 19,123
2019-07-01,Kensington & Chelsea,20 - 24,139
2019-07-01,Kensington & Chelsea,25 - 29,58
2019-07-01,Kingston upon Thames,15 - 19,113
2019-07-01,Kingston upon Thames,20 - 24,67
2019-07-01,Kingston upon Thames,25 - 29,42
2019-07-01,Lambeth,15 - 19,466
2019-07-01,Lambeth,20 - 24,322
2019-07-01,Lambeth,25 - 29,211
2019-07-01,Lewisham,15 - 19,166
2019-07-01,Lewisham,20 - 24,128
2019-07-01,Lewisham,25 - 29,81
2019-07-01,Merton,15 - 19,106
2019-07-01,Merton,20 - 24,85
2019-07-01,Merton,25 - 29,37
2019-07-01,Newham,15 - 19,435
2019-07-01,Newham,20 - 24,504
2019-07-01,Newham,25 - 29,321
2019-07-01,Redbridge,15 - 19,148
2019-07-01,Redbridge,20 - 24,192
2019-07-01,Redbridge,25 - 29,104
2019-07-01,Richmond upon Thames,15 - 19,54
2019-07-01,Richmond upon Thames,20 - 24,23
2019-07-01,Richmond upon Thames,25 - 29,13
2019-07-01,Southwark,15 - 19,588
2019-07-01,Southwark,20 - 24,430
2019-07-01,Southwark,25 - 29,240
2019-07-01,Sutton,15 - 19,91
2019-07-01,Sutton,20 - 24,81
2019-07-01,Sutton,25 - 29,29
2019-07-01,Tower Hamlets,15 - 19,470
2019-07-01,Tower Hamlets,20 - 24,485
2019-07-01,Tower Hamlets,25 - 29,252
2019-07-01,Waltham Forest,15 - 19,380
2019-07-01,Waltham Forest,20 - 24,305
2019-07-01,Waltham Forest,25 - 29,182
2019-07-01,Wandsworth,15 - 19,124
2019-07-01,Wandsworth,20 - 24,111
2019-07-01,Wandsworth,25 - 29,83
2019-07-01,Westminster,15 - 19,393
2019-07-01,Westminster,20 - 24,390
2019-07-01,Westminster,25 - 29,214
2019-08-01,Aviation Policing,20 - 24,4
2019-08-01,Aviation Policing,25 - 29,4
2019-08-01,Barking & Dagenham,15 - 19,94
2019-08-01,Barking & Dagenham,20 - 24,57
2019-08-01,Barking & Dagenham,25 - 29,45
2019-08-01,Barnet,15 - 19,97
2019-08-01,Barnet,20 - 24,108
2019-08-01,Barnet,25 - 29,52
2019-08-01,Bexley,15 - 19,105
2019-08-01,Bexley,20 - 24,84
2019-08-01,Bexley,25 - 29,35
2019-08-01,Brent,15 - 19,239
2019-08-01,Brent,20 - 24,262
2019-08-01,Brent,25 - 29,155
2019-08-01,Bromley,15 - 19,208
2019-08-01,Bromley,20 - 24,160
2019-08-01,Bromley,25 - 29,62
2019-08-01,Camden,15 - 19,225
2019-08-01,Camden,20 - 24,229
2019-08-01,Camden,25 - 29,155
2019-08-01,Croydon,15 - 19,348
2019-08-01,Croydon,20 - 24,305
2019-08-01,Croydon,25 - 29,164
2019-08-01,Ealing,15 - 19,174
2019-08-01,Ealing,20 - 24,159
2019-08-01,Ealing,25 - 29,64
2019-08-01,Enfield,15 - 19,128
2019-08-01,Enfield,20 - 24,114
2019-08-01,Enfield,25 - 29,41
2019-08-01,Greenwich,15 - 19,205
2019-08-01,Greenwich,20 - 24,134
2019-08-01,Greenwich,25 - 29,85
2019-08-01,Hackney,15 - 19,283
2019-08-01,Hackney,20 - 24,216
2019-08-01,Hackney,25 - 29,139
2019-08-01,Hammersmith & Fulham,15 - 19,204
2019-08-01,Hammersmith & Fulham,20 - 24,159
2019-08-01,Hammersmith & Fulham,25 - 29,101
2019-08-01,Haringey,15 - 19,163
2019-08-01,Haringey,20 - 24,158
2019-08-01,Haringey,25 - 29,102
2019-08-01,Harrow,15 - 19,99
2019-08-01,Harrow,20 - 24,88
2019-08-01,Harrow,25 - 29,28
2019-08-01,Havering,15 - 19,151
2019-08-01,Havering,20 - 24,70
2019-08-01,Havering,25 - 29,29
2019-08-01,Hillingdon,15 - 19,200
2019-08-01,Hillingdon,20 - 24,156
2019-08-01,Hillingdon,25 - 29,79
2019-08-01,Hounslow,15 - 19,188
2019-08-01,Hounslow,20 - 24,212
2019-08-01,Hounslow,25 - 29,124
2019-08-01,Islington,15 - 19,207
2019-08-01,Islington,20 - 24,168
2019-08-01,Islington,25 - 29,91
2019-08-01,Kensington & Chelsea,15 - 19,1348
2019-08-01,Kensington & Chelsea,20 - 24,922
2019-08-01,Kensington & Chelsea,25 - 29,385
2019-08-01,Kingston upon Thames,15 - 19,110
2019-08-01,Kingston upon Thames,20 - 24,46
2019-08-01,Kingston upon Thames,25 - 29,37
2019-08-01,Lambeth,15 - 19,323
2019-08-01,Lambeth,20 - 24,280
2019-08-01,Lambeth,25 - 29,175
2019-08-01,Lewisham,15 - 19,300
2019-08-01,Lewisham,20 - 24,192
2019-08-01,Lewisham,25 - 29,104
2019-08-01,Merton,15 - 19,140
2019-08-01,Merton,20 - 24,147
2019-08-01,Merton,25 - 29,66
2019-08-01,Newham,15 - 19,351
2019-08-01,Newham,20 - 24,381
2019-08-01,Newham,25 - 29,287
2019-08-01,Redbridge,15 - 19,178
2019-08-01,Redbridge,20 - 24,144
2019-08-01,Redbridge,25 - 29,83
2019-08-01,Richmond upon Thames,15 - 19,59
2019-08-01,Richmond upon Thames,20 - 24,46
2019-08-01,Richmond upon Thames,25 - 29,23
2019-08-01,Southwark,15 - 19,489
2019-08-01,Southwark,20 - 24,377
2019-08-01,Southwark,25 - 29,223
2019-08-01,Sutton,15 - 19,77
2019-08-01,Sutton,20 - 24,30
2019-08-01,Sutton,25 - 29,34
2019-08-01,Tower Hamlets,15 - 19,352
2019-08-01,Tower Hamlets,20 - 24,439
2019-08-01,Tower Hamlets,25 - 29,246
2019-08-01,Waltham Forest,15 - 19,348
2019-08-01,Waltham Forest,20 - 24,241
2019-08-01,Waltham Forest,25 - 29,108
2019-08-01,Wandsworth,15 - 19,86
2019-08-01,Wandsworth,20 - 24,100
2019-08-01,Wandsworth,25 - 29,71
2019-08-01,Westminster,15 - 19,585
2019-08-01,Westminster,20 - 24,657
2019-08-01,Westminster,25 - 29,380
2019-09-01,Aviation Policing,15 - 19,4
2019-09-01,Aviation Policing,20 - 24,6
2019-09-01,Aviation Policing,25 - 29,3
2019-09-01,Barking & Dagenham,15 - 19,122
2019-09-01,Barking & Dagenham,20 - 24,76
2019-09-01,Barking & Dagenham,25 - 29,61
2019-09-01,Barnet,15 - 19,82
2019-09-01,Barnet,20 - 24,84
2019-09-01,Barnet,25 - 29,51
2019-09-01,Bexley,15 - 19,130
2019-09-01,Bexley,20 - 24,56
2019-09-01,Bexley,25 - 29,47
2019-09-01,Brent,15 - 19,207
2019-09-01,Brent,20 - 24,214
2019-09-01,Brent,25 - 29,133
2019-09-01,Bromley,15 - 19,207
2019-09-01,Bromley,20 - 24,126
2019-09-01,Bromley,25 - 29,54
2019-09-01,Camden,15 - 19,293
2019-09-01,Camden,20 - 24,290
2019-09-01,Camden,25 - 29,160
2019-09-01,Croydon,15 - 19,341
2019-09-01,Croydon,20 - 24,256
2019-09-01,Croydon,25 - 29,154
2019-09-01,Ealing,15 - 19,193
2019-09-01,Ealing,20 - 24,223
2019-09-01,Ealing,25 - 29,114
2019-09-01,Enfield,15 - 19,105
2019-09-01,Enfield,20 - 24,86
2019-09-01,Enfield,25 - 29,37
2019-09-01,Greenwich,15 - 19,247
2019-09-01,Greenwich,20 - 24,152
2019-09-01,Greenwich,25 - 29,80
2019-09-01,Hackney,15 - 19,297
2019-09-01,Hackney,20 - 24,275
2019-09-01,Hackney,25 - 29,142
2019-09-01,Hammersmith & Fulham,15 - 19,73
2019-09-01,Hammersmith & Fulham,20 - 24,89
2019-09-01,Hammersmith & Fulham,25 - 29,40
2019-09-01,Haringey,15 - 19,235
2019-09-01,Haringey,20 - 24,186
2019-09-01,Haringey,25 - 29,102
2019-09-01,Harrow,15 - 19,103
2019-09-01,Harrow,20 - 24,125
2019-09-01,Harrow,25 - 29,69
2019-09-01,Havering,15 - 19,112
2019-09-01,Havering,20 - 24,90
2019-09-01,Havering,25 - 29,29
2019-09-01,Hillingdon,15 - 19,160
2019-09-01,Hillingdon,20 - 24,183
2019-09-01,Hillingdon,25 - 29,99
2019-09-01,Hounslow,15 - 19,186
2019-09-01,Hounslow,20 - 24,203
2019-09-01,Hounslow,25 - 29,114
2019-09-01,Islington,15 - 19,169
2019-09-01,Islington,20 - 24,139
2019-09-01,Islington,25 - 29,74
2019-09-01,Kensington & Chelsea,15 - 19,91
2019-09-01,Kensington & Chelsea,20 - 24,97
2019-09-01,Kensington & Chelsea,25 - 29,63
2019-09-01,Kingston upon Thames,15 - 19,94
2019-09-01,Kingston upon Thames,20 - 24,73
2019-09-01,Kingston upon Thames,25 - 29,43
2019-09-01,Lambeth,15 - 19,267
2019-09-01,Lambeth,20 - 24,218
2019-09-01,Lambeth,25 - 29,168
2019-09-01,Lewisham,15 - 19,174
2019-09-01,Lewisham,20 - 24,141
2019-09-01,Lewisham,25 - 29,80
2019-09-01,Merton,15 - 19,95
2019-09-01,Merton,20 - 24,79
2019-09-01,Merton,25 - 29,44
2019-09-01,Newham,15 - 19,389
2019-09-01,Newham,20 - 24,460
2019-09-01,Newham,25 - 29,264
2019-09-01,Redbridge,15 - 19,185
2019-09-01,Redbridge,20 - 24,155
2019-09-01,Redbridge,25 - 29,91
2019-09-01,Richmond upon Thames,15 - 19,55
2019-09-01,Richmond upon Thames,20 - 24,34
2019-09-01,Richmond upon Thames,25 - 29,22
2019-09-01,Southwark,15 - 19,315
2019-09-01,Southwark,20 - 24,232
2019-09-01,Southwark,25 - 29,142
2019-09-01,Sutton,15 - 19,70
2019-09-01,Sutton,20 - 24,36
2019-09-01,Sutton,25 - 29,24
2019-09-01,Tower Hamlets,15 - 19,341
2019-09-01,Tower Hamlets,20 - 24,358
2019-09-01,Tower Hamlets,25 - 29,188
2019-09-01,Waltham Forest,15 - 19,307
2019-09-01,Waltham Forest,20 - 24,238
2019-09-01,Waltham Forest,25 - 29,152
2019-09-01,Wandsworth,15 - 19,101
2019-09-01,Wandsworth,20 - 24,71
2019-09-01,Wandsworth,25 - 29,46
2019-09-01,Westminster,15 - 19,502
2019-09-01,Westminster,20 - 24,544
2019-09-01,Westminster,25 - 29,299
2019-10-01,Aviation Policing,15 - 19,1
2019-10-01,Aviation Policing,20 - 24,6
2019-10-01,Aviation Policing,25 - 29,5
2019-10-01,Barking & Dagenham,15 - 19,148
2019-10-01,Barking & Dagenham,20 - 24,81
2019-10-01,Barking & Dagenham,25 - 29,58
2019-10-01,Barnet,15 - 19,136
2019-10-01,Barnet,20 - 24,91
2019-10-01,Barnet,25 - 29,35
2019-10-01,Bexley,15 - 19,199
2019-10-01,Bexley,20 - 24,93
2019-10-01,Bexley,25 - 29,53
2019-10-01,Brent,15 - 19,224
2019-10-01,Brent,20 - 24,180
2019-10-01,Brent,25 - 29,86
2019-10-01,Bromley,15 - 19,186
2019-10-01,Bromley,20 - 24,78
2019-10-01,Bromley,25 - 29,48
2019-10-01,Camden,15 - 19,309
2019-10-01,Camden,20 - 24,216
2019-10-01,Camden,25 - 29,139
2019-10-01,Croydon,15 - 19,355
2019-10-01,Croydon,20 - 24,225
2019-10-01,Croydon,25 - 29,152
2019-10-01,Ealing,15 - 19,196
2019-10-01,Ealing,20 - 24,146
2019-10-01,Ealing,25 - 29,92
2019-10-01,Enfield,15 - 19,170
2019-10-01,Enfield,20 - 24,118
2019-10-01,Enfield,25 - 29,47
2019-10-01,Greenwich,15 - 19,233
2019-10-01,Greenwich,20 - 24,161
2019-10-01,Greenwich,25 - 29,88
2019-10-01,Hackney,15 - 19,181
2019-10-01,Hackney,20 - 24,182
2019-10-01,Hackney,25 - 29,99
2019-10-01,Hammersmith & Fulham,15 - 19,173
2019-10-01,Hammersmith & Fulham,20 - 24,118
2019-10-01,Hammersmith & Fulham,25 - 29,54
2019-10-01,Haringey,15 - 19,207
2019-10-01,Haringey,20 - 24,179
2019-10-01,Haringey,25 - 29,89
2019-10-01,Harrow,15 - 19,110
2019-10-01,Harrow,20 - 24,88
2019-10-01,Harrow,25 - 29,46
2019-10-01,Havering,15 - 19,150
2019-10-01,Havering,20 - 24,83
2019-10-01,Havering,25 - 29,57
2019-10-01,Hillingdon,15 - 19,192
2019-10-01,Hillingdon,20 - 24,179
2019-10-01,Hillingdon,25 - 29,80
2019-10-01,Hounslow,15 - 19,212
